ProviderNPI,predicted_specialty_id_1,number_of_predicted_specialties,etl_provider_key,provider_npi,specialty_1_probability_value,predicted_specialty_id_2,specialty_2_probability_value,predicted_specialty_id_3,specialty_3_probability_value,customer_provided_specialty_desc,npi_reg_primary_taxonomy_code,used_cust_specialty_flg
791199,6,1,,,,,,,,,,
969252,6,1,,,,,,,,,,
95296,6,1,,,,,,,,,,
301215,6,1,,,,,,,,,,
762062,6,1,,,,,,,,,,
326787,6,1,,,,,,,,,,
606988,6,1,,,,,,,,,,
82482,6,1,,,,,,,,,,
894027,6,1,,,,,,,,,,
860306,6,1,,,,,,,,,,
772922,6,1,,,,,,,,,,
608564,6,1,,,,,,,,,,
281148,6,1,,,,,,,,,,
478885,6,1,,,,,,,,,,
310761,6,1,,,,,,,,,,
637762,6,1,,,,,,,,,,
294440,6,1,,,,,,,,,,
596734,6,1,,,,,,,,,,
267842,6,1,,,,,,,,,,
77977,6,1,,,,,,,,,,
922145,6,1,,,,,,,,,,
67518,6,1,,,,,,,,,,
200012,6,1,,,,,,,,,,
372722,6,1,,,,,,,,,,
428872,6,1,,,,,,,,,,
614776,6,1,,,,,,,,,,
740027,6,1,,,,,,,,,,
819575,6,1,,,,,,,,,,
183143,6,1,,,,,,,,,,
850235,6,1,,,,,,,,,,
221939,6,1,,,,,,,,,,
745238,6,1,,,,,,,,,,
357566,6,1,,,,,,,,,,
240473,6,1,,,,,,,,,,
801999,6,1,,,,,,,,,,
622965,6,1,,,,,,,,,,
289006,6,1,,,,,,,,,,
245431,6,1,,,,,,,,,,
769817,6,1,,,,,,,,,,
52528,6,1,,,,,,,,,,
669177,6,1,,,,,,,,,,
255035,6,1,,,,,,,,,,
814655,6,1,,,,,,,,,,
352317,6,1,,,,,,,,,,
349469,6,1,,,,,,,,,,
151863,6,1,,,,,,,,,,
454990,6,1,,,,,,,,,,
392226,6,1,,,,,,,,,,
963455,6,1,,,,,,,,,,
696636,6,1,,,,,,,,,,
795248,6,1,,,,,,,,,,
557740,6,1,,,,,,,,,,
326191,6,1,,,,,,,,,,
860671,6,1,,,,,,,,,,
319932,6,1,,,,,,,,,,
491478,6,1,,,,,,,,,,
107230,6,1,,,,,,,,,,
149699,6,1,,,,,,,,,,
107650,6,1,,,,,,,,,,
543148,6,1,,,,,,,,,,
194111,6,1,,,,,,,,,,
845864,6,1,,,,,,,,,,
496753,6,1,,,,,,,,,,
986959,6,1,,,,,,,,,,
585508,6,1,,,,,,,,,,
132125,6,1,,,,,,,,,,
319196,6,1,,,,,,,,,,
177540,6,1,,,,,,,,,,
36017,6,1,,,,,,,,,,
309238,6,1,,,,,,,,,,
246050,6,1,,,,,,,,,,
921834,6,1,,,,,,,,,,
830827,6,1,,,,,,,,,,
126072,6,1,,,,,,,,,,
319195,6,1,,,,,,,,,,
761916,6,1,,,,,,,,,,
886342,6,1,,,,,,,,,,
346515,6,1,,,,,,,,,,
530776,6,1,,,,,,,,,,
635024,6,1,,,,,,,,,,
89937,6,1,,,,,,,,,,
599205,6,1,,,,,,,,,,
753192,6,1,,,,,,,,,,
425410,6,1,,,,,,,,,,
958176,6,1,,,,,,,,,,
260331,6,1,,,,,,,,,,
398058,6,1,,,,,,,,,,
802776,6,1,,,,,,,,,,
46796,6,1,,,,,,,,,,
670074,6,1,,,,,,,,,,
312998,6,1,,,,,,,,,,
386654,6,1,,,,,,,,,,
549222,6,1,,,,,,,,,,
486938,6,1,,,,,,,,,,
567383,6,1,,,,,,,,,,
849444,6,1,,,,,,,,,,
48391,6,1,,,,,,,,,,
139919,6,1,,,,,,,,,,
989822,6,1,,,,,,,,,,
520546,6,1,,,,,,,,,,
36543,6,1,,,,,,,,,,
369973,6,1,,,,,,,,,,
415075,6,1,,,,,,,,,,
968626,6,1,,,,,,,,,,
15503,6,1,,,,,,,,,,
922699,6,1,,,,,,,,,,
253673,6,1,,,,,,,,,,
562824,6,1,,,,,,,,,,
553373,6,1,,,,,,,,,,
237480,6,1,,,,,,,,,,
306131,6,1,,,,,,,,,,
760709,6,1,,,,,,,,,,
134092,6,1,,,,,,,,,,
576432,6,1,,,,,,,,,,
582666,6,1,,,,,,,,,,
699501,6,1,,,,,,,,,,
687533,6,1,,,,,,,,,,
484323,6,1,,,,,,,,,,
225506,6,1,,,,,,,,,,
951215,6,1,,,,,,,,,,
192672,6,1,,,,,,,,,,
850457,6,1,,,,,,,,,,
793004,6,1,,,,,,,,,,
480892,6,1,,,,,,,,,,
669710,6,1,,,,,,,,,,
333629,6,1,,,,,,,,,,
987786,6,1,,,,,,,,,,
616707,6,1,,,,,,,,,,
243616,6,1,,,,,,,,,,
195106,6,1,,,,,,,,,,
478771,6,1,,,,,,,,,,
651991,6,1,,,,,,,,,,
880462,6,1,,,,,,,,,,
638311,6,1,,,,,,,,,,
635967,6,1,,,,,,,,,,
812031,6,1,,,,,,,,,,
594858,6,1,,,,,,,,,,
20013,6,1,,,,,,,,,,
700558,6,1,,,,,,,,,,
716607,6,1,,,,,,,,,,
376806,6,1,,,,,,,,,,
470362,6,1,,,,,,,,,,
916978,6,1,,,,,,,,,,
766433,6,1,,,,,,,,,,
856106,6,1,,,,,,,,,,
22473,6,1,,,,,,,,,,
818667,6,1,,,,,,,,,,
950297,6,1,,,,,,,,,,
553490,6,1,,,,,,,,,,
287370,6,1,,,,,,,,,,
231063,6,1,,,,,,,,,,
213514,6,1,,,,,,,,,,
340304,6,1,,,,,,,,,,
155157,6,1,,,,,,,,,,
579003,6,1,,,,,,,,,,
455224,6,1,,,,,,,,,,
797592,6,1,,,,,,,,,,
964570,6,1,,,,,,,,,,
151278,6,1,,,,,,,,,,
47849,6,1,,,,,,,,,,
972022,6,1,,,,,,,,,,
14109,6,1,,,,,,,,,,
405235,6,1,,,,,,,,,,
642473,6,1,,,,,,,,,,
763670,6,1,,,,,,,,,,
477434,6,1,,,,,,,,,,
949029,6,1,,,,,,,,,,
414204,6,1,,,,,,,,,,
865115,6,1,,,,,,,,,,
50111,6,1,,,,,,,,,,
577148,6,1,,,,,,,,,,
354388,6,1,,,,,,,,,,
495006,6,1,,,,,,,,,,
911802,6,1,,,,,,,,,,
648982,6,1,,,,,,,,,,
719385,6,1,,,,,,,,,,
768177,6,1,,,,,,,,,,
747200,6,1,,,,,,,,,,
868785,6,1,,,,,,,,,,
144685,6,1,,,,,,,,,,
413096,6,1,,,,,,,,,,
856090,6,1,,,,,,,,,,
804555,6,1,,,,,,,,,,
491439,6,1,,,,,,,,,,
156696,6,1,,,,,,,,,,
756980,6,1,,,,,,,,,,
944875,6,1,,,,,,,,,,
977087,6,1,,,,,,,,,,
987400,6,1,,,,,,,,,,
493770,6,1,,,,,,,,,,
317881,6,1,,,,,,,,,,
736317,6,1,,,,,,,,,,
396633,6,1,,,,,,,,,,
774455,6,1,,,,,,,,,,
855013,6,1,,,,,,,,,,
604078,6,1,,,,,,,,,,
849263,6,1,,,,,,,,,,
392926,6,1,,,,,,,,,,
764003,6,1,,,,,,,,,,
85583,6,1,,,,,,,,,,
736497,6,1,,,,,,,,,,
948782,6,1,,,,,,,,,,
650887,6,1,,,,,,,,,,
485036,6,1,,,,,,,,,,
171696,6,1,,,,,,,,,,
710288,6,1,,,,,,,,,,
824293,6,1,,,,,,,,,,
720430,6,1,,,,,,,,,,
649947,6,1,,,,,,,,,,
478692,6,1,,,,,,,,,,
665698,6,1,,,,,,,,,,
447178,6,1,,,,,,,,,,
196618,6,1,,,,,,,,,,
196171,6,1,,,,,,,,,,
322762,6,1,,,,,,,,,,
736932,6,1,,,,,,,,,,
267432,6,1,,,,,,,,,,
440522,6,1,,,,,,,,,,
356852,6,1,,,,,,,,,,
50967,6,1,,,,,,,,,,
517369,6,1,,,,,,,,,,
14059,6,1,,,,,,,,,,
689361,6,1,,,,,,,,,,
399730,6,1,,,,,,,,,,
660596,6,1,,,,,,,,,,
725621,6,1,,,,,,,,,,
391575,6,1,,,,,,,,,,
246284,6,1,,,,,,,,,,
679185,6,1,,,,,,,,,,
652423,6,1,,,,,,,,,,
768444,6,1,,,,,,,,,,
135999,6,1,,,,,,,,,,
279352,6,1,,,,,,,,,,
529661,6,1,,,,,,,,,,
534343,6,1,,,,,,,,,,
794696,6,1,,,,,,,,,,
954576,6,1,,,,,,,,,,
367013,6,1,,,,,,,,,,
886723,6,1,,,,,,,,,,
878044,6,1,,,,,,,,,,
555435,6,1,,,,,,,,,,
20865,6,1,,,,,,,,,,
450384,6,1,,,,,,,,,,
889094,6,1,,,,,,,,,,
840851,6,1,,,,,,,,,,
427022,6,1,,,,,,,,,,
775827,6,1,,,,,,,,,,
717889,6,1,,,,,,,,,,
655652,6,1,,,,,,,,,,
138394,6,1,,,,,,,,,,
850519,6,1,,,,,,,,,,
650359,6,1,,,,,,,,,,
439201,6,1,,,,,,,,,,
923703,6,1,,,,,,,,,,
61408,6,1,,,,,,,,,,
296515,6,1,,,,,,,,,,
505496,6,1,,,,,,,,,,
722514,6,1,,,,,,,,,,
208231,6,1,,,,,,,,,,
525922,6,1,,,,,,,,,,
970967,6,1,,,,,,,,,,
513733,6,1,,,,,,,,,,
276570,6,1,,,,,,,,,,
769676,6,1,,,,,,,,,,
991894,6,1,,,,,,,,,,
102461,6,1,,,,,,,,,,
934076,6,1,,,,,,,,,,
350077,6,1,,,,,,,,,,
688792,6,1,,,,,,,,,,
551039,6,1,,,,,,,,,,
528102,6,1,,,,,,,,,,
772654,6,1,,,,,,,,,,
101844,6,1,,,,,,,,,,
138007,6,1,,,,,,,,,,
151540,6,1,,,,,,,,,,
275630,6,1,,,,,,,,,,
578722,6,1,,,,,,,,,,
518242,6,1,,,,,,,,,,
120917,6,1,,,,,,,,,,
113197,6,1,,,,,,,,,,
573894,6,1,,,,,,,,,,
490080,6,1,,,,,,,,,,
840426,6,1,,,,,,,,,,
493023,6,1,,,,,,,,,,
915474,6,1,,,,,,,,,,
678467,6,1,,,,,,,,,,
193111,6,1,,,,,,,,,,
777812,6,1,,,,,,,,,,
580858,6,1,,,,,,,,,,
653558,6,1,,,,,,,,,,
212119,6,1,,,,,,,,,,
150295,6,1,,,,,,,,,,
660715,6,1,,,,,,,,,,
545591,6,1,,,,,,,,,,
276809,6,1,,,,,,,,,,
870644,6,1,,,,,,,,,,
49596,6,1,,,,,,,,,,
612888,6,1,,,,,,,,,,
335072,6,1,,,,,,,,,,
986797,6,1,,,,,,,,,,
615001,6,1,,,,,,,,,,
947066,6,1,,,,,,,,,,
800580,6,1,,,,,,,,,,
708782,6,1,,,,,,,,,,
683158,6,1,,,,,,,,,,
288288,6,1,,,,,,,,,,
299261,6,1,,,,,,,,,,
53793,6,1,,,,,,,,,,
200751,6,1,,,,,,,,,,
465055,6,1,,,,,,,,,,
707492,6,1,,,,,,,,,,
23006,6,1,,,,,,,,,,
343640,6,1,,,,,,,,,,
332812,6,1,,,,,,,,,,
620787,6,1,,,,,,,,,,
109406,6,1,,,,,,,,,,
22070,6,1,,,,,,,,,,
151093,6,1,,,,,,,,,,
163689,6,1,,,,,,,,,,
274582,6,1,,,,,,,,,,
821091,6,1,,,,,,,,,,
347243,6,1,,,,,,,,,,
549960,6,1,,,,,,,,,,
243613,6,1,,,,,,,,,,
229529,6,1,,,,,,,,,,
899712,6,1,,,,,,,,,,
310457,6,1,,,,,,,,,,
81465,6,1,,,,,,,,,,
599077,6,1,,,,,,,,,,
399673,6,1,,,,,,,,,,
585354,6,1,,,,,,,,,,
821493,6,1,,,,,,,,,,
332107,6,1,,,,,,,,,,
263890,6,1,,,,,,,,,,
66566,6,1,,,,,,,,,,
365888,6,1,,,,,,,,,,
890856,6,1,,,,,,,,,,
27058,6,1,,,,,,,,,,
729923,6,1,,,,,,,,,,
798517,6,1,,,,,,,,,,
80931,6,1,,,,,,,,,,
78796,6,1,,,,,,,,,,
731829,6,1,,,,,,,,,,
476009,6,1,,,,,,,,,,
426530,6,1,,,,,,,,,,
565496,6,1,,,,,,,,,,
45973,6,1,,,,,,,,,,
41197,6,1,,,,,,,,,,
377777,6,1,,,,,,,,,,
290899,6,1,,,,,,,,,,
616533,6,1,,,,,,,,,,
456551,6,1,,,,,,,,,,
564651,6,1,,,,,,,,,,
694178,6,1,,,,,,,,,,
53644,6,1,,,,,,,,,,
238250,6,1,,,,,,,,,,
783405,6,1,,,,,,,,,,
121119,6,1,,,,,,,,,,
375006,6,1,,,,,,,,,,
739523,6,1,,,,,,,,,,
142852,6,1,,,,,,,,,,
790860,6,1,,,,,,,,,,
484870,6,1,,,,,,,,,,
21388,6,1,,,,,,,,,,
955921,6,1,,,,,,,,,,
484616,6,1,,,,,,,,,,
847800,6,1,,,,,,,,,,
879424,6,1,,,,,,,,,,
922094,6,1,,,,,,,,,,
354985,6,1,,,,,,,,,,
304047,6,1,,,,,,,,,,
138293,6,1,,,,,,,,,,
366322,6,1,,,,,,,,,,
691796,6,1,,,,,,,,,,
556638,6,1,,,,,,,,,,
569560,6,1,,,,,,,,,,
770777,6,1,,,,,,,,,,
883561,6,1,,,,,,,,,,
369583,6,1,,,,,,,,,,
360101,6,1,,,,,,,,,,
582204,6,1,,,,,,,,,,
732442,6,1,,,,,,,,,,
991342,6,1,,,,,,,,,,
819186,6,1,,,,,,,,,,
812152,6,1,,,,,,,,,,
923735,6,1,,,,,,,,,,
317449,6,1,,,,,,,,,,
480615,6,1,,,,,,,,,,
29137,6,1,,,,,,,,,,
641577,6,1,,,,,,,,,,
549193,6,1,,,,,,,,,,
479223,6,1,,,,,,,,,,
503338,6,1,,,,,,,,,,
181695,6,1,,,,,,,,,,
329997,6,1,,,,,,,,,,
535158,6,1,,,,,,,,,,
156752,6,1,,,,,,,,,,
615180,6,1,,,,,,,,,,
898377,6,1,,,,,,,,,,
285509,6,1,,,,,,,,,,
802371,6,1,,,,,,,,,,
812959,6,1,,,,,,,,,,
63260,6,1,,,,,,,,,,
598286,6,1,,,,,,,,,,
220944,6,1,,,,,,,,,,
776463,6,1,,,,,,,,,,
761580,6,1,,,,,,,,,,
241646,6,1,,,,,,,,,,
768792,6,1,,,,,,,,,,
73400,6,1,,,,,,,,,,
861163,6,1,,,,,,,,,,
573795,6,1,,,,,,,,,,
558289,6,1,,,,,,,,,,
682851,6,1,,,,,,,,,,
917355,6,1,,,,,,,,,,
987203,6,1,,,,,,,,,,
223649,6,1,,,,,,,,,,
922393,6,1,,,,,,,,,,
737085,6,1,,,,,,,,,,
596867,6,1,,,,,,,,,,
867457,6,1,,,,,,,,,,
427995,6,1,,,,,,,,,,
526342,6,1,,,,,,,,,,
624331,6,1,,,,,,,,,,
740476,6,1,,,,,,,,,,
350154,6,1,,,,,,,,,,
334021,6,1,,,,,,,,,,
861594,6,1,,,,,,,,,,
175341,6,1,,,,,,,,,,
308999,6,1,,,,,,,,,,
677816,6,1,,,,,,,,,,
755893,6,1,,,,,,,,,,
408632,6,1,,,,,,,,,,
669395,6,1,,,,,,,,,,
78546,6,1,,,,,,,,,,
430999,6,1,,,,,,,,,,
114826,6,1,,,,,,,,,,
14527,6,1,,,,,,,,,,
686527,6,1,,,,,,,,,,
764237,6,1,,,,,,,,,,
36664,6,1,,,,,,,,,,
443706,6,1,,,,,,,,,,
746083,6,1,,,,,,,,,,
871629,6,1,,,,,,,,,,
837943,6,1,,,,,,,,,,
111606,6,1,,,,,,,,,,
621803,6,1,,,,,,,,,,
146960,6,1,,,,,,,,,,
679005,6,1,,,,,,,,,,
339656,6,1,,,,,,,,,,
810134,6,1,,,,,,,,,,
84781,6,1,,,,,,,,,,
249999,6,1,,,,,,,,,,
362685,6,1,,,,,,,,,,
306987,6,1,,,,,,,,,,
70346,6,1,,,,,,,,,,
598336,6,1,,,,,,,,,,
902730,6,1,,,,,,,,,,
941650,6,1,,,,,,,,,,
863780,6,1,,,,,,,,,,
719720,6,1,,,,,,,,,,
642060,6,1,,,,,,,,,,
565097,6,1,,,,,,,,,,
506202,6,1,,,,,,,,,,
886398,6,1,,,,,,,,,,
404117,6,1,,,,,,,,,,
30359,6,1,,,,,,,,,,
953815,6,1,,,,,,,,,,
664258,6,1,,,,,,,,,,
867256,6,1,,,,,,,,,,
784108,6,1,,,,,,,,,,
837002,6,1,,,,,,,,,,
157589,6,1,,,,,,,,,,
133130,6,1,,,,,,,,,,
162452,6,1,,,,,,,,,,
388135,6,1,,,,,,,,,,
446624,6,1,,,,,,,,,,
62608,6,1,,,,,,,,,,
878571,6,1,,,,,,,,,,
275199,6,1,,,,,,,,,,
612430,6,1,,,,,,,,,,
647140,6,1,,,,,,,,,,
599615,6,1,,,,,,,,,,
278233,6,1,,,,,,,,,,
889360,6,1,,,,,,,,,,
955652,6,1,,,,,,,,,,
347736,6,1,,,,,,,,,,
984380,6,1,,,,,,,,,,
365685,6,1,,,,,,,,,,
571861,6,1,,,,,,,,,,
455669,6,1,,,,,,,,,,
844654,6,1,,,,,,,,,,
91735,6,1,,,,,,,,,,
149912,6,1,,,,,,,,,,
562887,6,1,,,,,,,,,,
161523,6,1,,,,,,,,,,
722783,6,1,,,,,,,,,,
530154,6,1,,,,,,,,,,
416337,6,1,,,,,,,,,,
474073,6,1,,,,,,,,,,
267190,6,1,,,,,,,,,,
98417,6,1,,,,,,,,,,
394130,6,1,,,,,,,,,,
641517,6,1,,,,,,,,,,
96732,6,1,,,,,,,,,,
921538,6,1,,,,,,,,,,
68499,6,1,,,,,,,,,,
214498,6,1,,,,,,,,,,
969893,6,1,,,,,,,,,,
283687,6,1,,,,,,,,,,
406398,6,1,,,,,,,,,,
826732,6,1,,,,,,,,,,
501584,6,1,,,,,,,,,,
435772,6,1,,,,,,,,,,
952909,6,1,,,,,,,,,,
450650,6,1,,,,,,,,,,
858370,6,1,,,,,,,,,,
233199,6,1,,,,,,,,,,
589237,6,1,,,,,,,,,,
314993,6,1,,,,,,,,,,
914617,6,1,,,,,,,,,,
267568,6,1,,,,,,,,,,
538533,6,1,,,,,,,,,,
491823,6,1,,,,,,,,,,
55750,6,1,,,,,,,,,,
128654,6,1,,,,,,,,,,
485807,6,1,,,,,,,,,,
408503,6,1,,,,,,,,,,
796940,6,1,,,,,,,,,,
761322,6,1,,,,,,,,,,
318679,6,1,,,,,,,,,,
653079,6,1,,,,,,,,,,
361951,6,1,,,,,,,,,,
323737,6,1,,,,,,,,,,
550078,6,1,,,,,,,,,,
811997,6,1,,,,,,,,,,
222828,6,1,,,,,,,,,,
585401,6,1,,,,,,,,,,
45141,6,1,,,,,,,,,,
879744,6,1,,,,,,,,,,
84454,6,1,,,,,,,,,,
525230,6,1,,,,,,,,,,
440681,6,1,,,,,,,,,,
66251,6,1,,,,,,,,,,
306812,6,1,,,,,,,,,,
935284,6,1,,,,,,,,,,
221095,6,1,,,,,,,,,,
434011,6,1,,,,,,,,,,
758749,6,1,,,,,,,,,,
850681,6,1,,,,,,,,,,
894734,6,1,,,,,,,,,,
509807,6,1,,,,,,,,,,
46287,6,1,,,,,,,,,,
516012,6,1,,,,,,,,,,
321127,6,1,,,,,,,,,,
481937,6,1,,,,,,,,,,
322322,6,1,,,,,,,,,,
499757,6,1,,,,,,,,,,
234891,6,1,,,,,,,,,,
99930,6,1,,,,,,,,,,
137698,6,1,,,,,,,,,,
100828,6,1,,,,,,,,,,
498460,6,1,,,,,,,,,,
209092,6,1,,,,,,,,,,
673261,6,1,,,,,,,,,,
130604,6,1,,,,,,,,,,
436501,6,1,,,,,,,,,,
170469,6,1,,,,,,,,,,
143125,6,1,,,,,,,,,,
305108,6,1,,,,,,,,,,
216732,6,1,,,,,,,,,,
928085,6,1,,,,,,,,,,
501874,6,1,,,,,,,,,,
49603,6,1,,,,,,,,,,
761900,6,1,,,,,,,,,,
422825,6,1,,,,,,,,,,
23696,6,1,,,,,,,,,,
47492,6,1,,,,,,,,,,
186741,6,1,,,,,,,,,,
373487,6,1,,,,,,,,,,
390372,6,1,,,,,,,,,,
132984,6,1,,,,,,,,,,
660348,6,1,,,,,,,,,,
153598,6,1,,,,,,,,,,
592447,6,1,,,,,,,,,,
342898,6,1,,,,,,,,,,
310449,6,1,,,,,,,,,,
638308,6,1,,,,,,,,,,
85528,6,1,,,,,,,,,,
697297,6,1,,,,,,,,,,
22221,6,1,,,,,,,,,,
576377,6,1,,,,,,,,,,
293573,6,1,,,,,,,,,,
982776,6,1,,,,,,,,,,
698809,6,1,,,,,,,,,,
461963,6,1,,,,,,,,,,
581999,6,1,,,,,,,,,,
400418,6,1,,,,,,,,,,
716347,6,1,,,,,,,,,,
817877,6,1,,,,,,,,,,
963477,6,1,,,,,,,,,,
259509,6,1,,,,,,,,,,
773644,6,1,,,,,,,,,,
709507,6,1,,,,,,,,,,
545336,6,1,,,,,,,,,,
658620,6,1,,,,,,,,,,
561626,6,1,,,,,,,,,,
285015,6,1,,,,,,,,,,
703878,6,1,,,,,,,,,,
514405,6,1,,,,,,,,,,
715123,6,1,,,,,,,,,,
845367,6,1,,,,,,,,,,
40209,6,1,,,,,,,,,,
977290,6,1,,,,,,,,,,
647073,6,1,,,,,,,,,,
668662,6,1,,,,,,,,,,
131055,6,1,,,,,,,,,,
163405,6,1,,,,,,,,,,
933436,6,1,,,,,,,,,,
905389,6,1,,,,,,,,,,
512262,6,1,,,,,,,,,,
686934,6,1,,,,,,,,,,
99333,6,1,,,,,,,,,,
983975,6,1,,,,,,,,,,
469827,6,1,,,,,,,,,,
222818,6,1,,,,,,,,,,
827814,6,1,,,,,,,,,,
817655,6,1,,,,,,,,,,
787036,6,1,,,,,,,,,,
678325,6,1,,,,,,,,,,
289665,6,1,,,,,,,,,,
550541,6,1,,,,,,,,,,
26879,6,1,,,,,,,,,,
365321,6,1,,,,,,,,,,
236263,6,1,,,,,,,,,,
435229,6,1,,,,,,,,,,
73995,6,1,,,,,,,,,,
92880,6,1,,,,,,,,,,
420499,6,1,,,,,,,,,,
972671,6,1,,,,,,,,,,
681545,6,1,,,,,,,,,,
731802,6,1,,,,,,,,,,
450167,6,1,,,,,,,,,,
911034,6,1,,,,,,,,,,
38171,6,1,,,,,,,,,,
285021,6,1,,,,,,,,,,
561310,6,1,,,,,,,,,,
631637,6,1,,,,,,,,,,
592240,6,1,,,,,,,,,,
393771,6,1,,,,,,,,,,
218223,6,1,,,,,,,,,,
978589,6,1,,,,,,,,,,
42889,6,1,,,,,,,,,,
39319,6,1,,,,,,,,,,
356869,6,1,,,,,,,,,,
532883,6,1,,,,,,,,,,
790491,6,1,,,,,,,,,,
717422,6,1,,,,,,,,,,
223551,6,1,,,,,,,,,,
922051,6,1,,,,,,,,,,
585964,6,1,,,,,,,,,,
269617,6,1,,,,,,,,,,
722171,6,1,,,,,,,,,,
85030,6,1,,,,,,,,,,
414479,6,1,,,,,,,,,,
175597,6,1,,,,,,,,,,
218860,6,1,,,,,,,,,,
149230,6,1,,,,,,,,,,
869814,6,1,,,,,,,,,,
573625,6,1,,,,,,,,,,
221025,6,1,,,,,,,,,,
196242,6,1,,,,,,,,,,
313853,6,1,,,,,,,,,,
881557,6,1,,,,,,,,,,
779739,6,1,,,,,,,,,,
717857,6,1,,,,,,,,,,
316299,6,1,,,,,,,,,,
800202,6,1,,,,,,,,,,
968020,6,1,,,,,,,,,,
505770,6,1,,,,,,,,,,
627181,6,1,,,,,,,,,,
915110,6,1,,,,,,,,,,
702082,6,1,,,,,,,,,,
122556,6,1,,,,,,,,,,
43631,6,1,,,,,,,,,,
47180,6,1,,,,,,,,,,
899229,6,1,,,,,,,,,,
299409,6,1,,,,,,,,,,
341139,6,1,,,,,,,,,,
947972,6,1,,,,,,,,,,
169212,6,1,,,,,,,,,,
552604,6,1,,,,,,,,,,
124221,6,1,,,,,,,,,,
258659,6,1,,,,,,,,,,
619159,6,1,,,,,,,,,,
563349,6,1,,,,,,,,,,
558331,6,1,,,,,,,,,,
842139,6,1,,,,,,,,,,
228308,6,1,,,,,,,,,,
131289,6,1,,,,,,,,,,
79503,6,1,,,,,,,,,,
699681,6,1,,,,,,,,,,
882048,6,1,,,,,,,,,,
866924,6,1,,,,,,,,,,
148273,6,1,,,,,,,,,,
254792,6,1,,,,,,,,,,
331044,6,1,,,,,,,,,,
90983,6,1,,,,,,,,,,
203782,6,1,,,,,,,,,,
269147,6,1,,,,,,,,,,
952672,6,1,,,,,,,,,,
88929,6,1,,,,,,,,,,
642283,6,1,,,,,,,,,,
676330,6,1,,,,,,,,,,
398034,6,1,,,,,,,,,,
801486,6,1,,,,,,,,,,
939852,6,1,,,,,,,,,,
963505,6,1,,,,,,,,,,
658083,6,1,,,,,,,,,,
374091,6,1,,,,,,,,,,
891699,6,1,,,,,,,,,,
550788,6,1,,,,,,,,,,
453450,6,1,,,,,,,,,,
66449,6,1,,,,,,,,,,
697156,6,1,,,,,,,,,,
567837,6,1,,,,,,,,,,
556592,6,1,,,,,,,,,,
644561,6,1,,,,,,,,,,
617211,6,1,,,,,,,,,,
400567,6,1,,,,,,,,,,
682970,6,1,,,,,,,,,,
922496,6,1,,,,,,,,,,
830506,6,1,,,,,,,,,,
746705,6,1,,,,,,,,,,
193021,6,1,,,,,,,,,,
660272,6,1,,,,,,,,,,
349626,6,1,,,,,,,,,,
233057,6,1,,,,,,,,,,
747919,6,1,,,,,,,,,,
185845,6,1,,,,,,,,,,
